"paper","dc_method_type_label","dc_method_name"
"http://orkg.org/orkg/resource/R108199","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R111988","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R112434","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R113067","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R113160","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R76792","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R78392","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R78432","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R192386","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R192398","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193022","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193035","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193330","secondary research","literature review"
"http://orkg.org/orkg/resource/R193357","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193467","secondary research","literature review"
"http://orkg.org/orkg/resource/R193467","secondary research","tertiary literature review"
"http://orkg.org/orkg/resource/R193481","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R193828","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R193866","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R193920","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194139","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194253","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194428","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194607","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194641","secondary research","literature review"
"http://orkg.org/orkg/resource/R194641","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194954","secondary research","literature review"
"http://orkg.org/orkg/resource/R194974","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195005","secondary research","literature review"
"http://orkg.org/orkg/resource/R195023","secondary research","literature review"
"http://orkg.org/orkg/resource/R195129","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195495","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195587","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195597","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R195728","secondary research","literature review"
"http://orkg.org/orkg/resource/R196070","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R198663","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R198681","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R198833","secondary research","systematic literature map"
"http://orkg.org/orkg/resource/R199014","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R199136","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211177","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211351","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211411","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211428","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211485","secondary research","literature review"
"http://orkg.org/orkg/resource/R220303","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R220583","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R220633","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R220810","secondary research","literature review"
"http://orkg.org/orkg/resource/R227514","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R228229","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R228262","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R229273","secondary research","literature review"
"http://orkg.org/orkg/resource/R229316","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R229340","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R229375","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R254508","secondary research","document inspection"
"http://orkg.org/orkg/resource/R276000","secondary research","literature review"
"http://orkg.org/orkg/resource/R279141","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R279151","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R280747","secondary research","literature study"
"http://orkg.org/orkg/resource/R280754","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R281210","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R285790","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R287845","secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R288460","secondary research","systematic review"
"http://orkg.org/orkg/resource/R288742","secondary research","document inspection"
"http://orkg.org/orkg/resource/R369339","secondary research","document analysis"
"http://orkg.org/orkg/resource/R597081","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R597176","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R598694","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R602865","secondary research","literature review"
"http://orkg.org/orkg/resource/R603600","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R605866","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R606978","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R713795","secondary research","literature review"
"http://orkg.org/orkg/resource/R713795","secondary research","tool review"
"http://orkg.org/orkg/resource/R734867","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R576802","secondary research","literature survey"
"http://orkg.org/orkg/resource/R578020","secondary research","systematic review"
"http://orkg.org/orkg/resource/R580068","secondary research","literature survey"
"http://orkg.org/orkg/resource/R583066","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R583928","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R584056","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R584073","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R586489","secondary research","document analysis"
"http://orkg.org/orkg/resource/R589002","secondary research","document inspection"
"http://orkg.org/orkg/resource/R589029","secondary research","archive analysis"
"http://orkg.org/orkg/resource/R680008","secondary research","document analysis"
"http://orkg.org/orkg/resource/R684218","secondary research","document analysis"
