"paper","year","dc_label","method_label"
"http://orkg.org/orkg/resource/R108199",2017,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R111988",2016,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R112434",2017,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R113067",2017,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R113160",2018,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R76792",2017,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R78392",2015,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R78432",2016,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R227514",2022,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R228229",2022,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R228262",2022,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R229273",2022,"secondary research","literature review"
"http://orkg.org/orkg/resource/R229316",2022,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R229340",2022,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R229375",2022,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R254508",2011,"secondary research","document inspection"
"http://orkg.org/orkg/resource/R276000",2011,"secondary research","literature review"
"http://orkg.org/orkg/resource/R279141",2010,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R279151",2010,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R280747",2009,"secondary research","literature study"
"http://orkg.org/orkg/resource/R280754",2009,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R281210",2009,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R285790",2008,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R287845",2008,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R288460",2007,"secondary research","systematic review"
"http://orkg.org/orkg/resource/R288742",2007,"secondary research","document inspection"
"http://orkg.org/orkg/resource/R369339",2007,"secondary research","document analysis"
"http://orkg.org/orkg/resource/R680008",1995,"secondary research","document analysis"
"http://orkg.org/orkg/resource/R684218",1995,"secondary research","document analysis"
"http://orkg.org/orkg/resource/R192386",2021,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R192398",2021,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193022",2021,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193035",2021,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193330",2021,"secondary research","literature review"
"http://orkg.org/orkg/resource/R193357",2021,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R193467",2020,"secondary research","literature review"
"http://orkg.org/orkg/resource/R193467",2020,"secondary research","tertiary literature review"
"http://orkg.org/orkg/resource/R193481",2020,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R193828",2021,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R193866",2021,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R193920",2020,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194139",2020,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194253",2019,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194428",2019,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194607",2019,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194641",2020,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R194641",2020,"secondary research","literature review"
"http://orkg.org/orkg/resource/R194954",2018,"secondary research","literature review"
"http://orkg.org/orkg/resource/R194974",2018,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195005",2018,"secondary research","literature review"
"http://orkg.org/orkg/resource/R195023",2018,"secondary research","literature review"
"http://orkg.org/orkg/resource/R195129",2018,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195495",2017,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195587",2017,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R195597",2017,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R195728",2017,"secondary research","literature review"
"http://orkg.org/orkg/resource/R196070",2017,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R198663",2016,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R198681",2016,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R198833",2016,"secondary research","systematic literature map"
"http://orkg.org/orkg/resource/R199014",2015,"secondary research","systematic literature review"
"http://orkg.org/orkg/resource/R199136",2015,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211177",2014,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211351",2014,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211411",2014,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211428",2014,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R211485",2014,"secondary research","literature review"
"http://orkg.org/orkg/resource/R220303",2013,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R220583",2013,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R220633",2013,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R220810",2013,"secondary research","literature review"
"http://orkg.org/orkg/resource/R576802",2006,"secondary research","literature survey"
"http://orkg.org/orkg/resource/R578020",2006,"secondary research","systematic review"
"http://orkg.org/orkg/resource/R580068",2005,"secondary research","literature survey"
"http://orkg.org/orkg/resource/R583066",2005,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R583928",2004,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R584056",2003,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R584073",2003,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R586489",2003,"secondary research","document analysis"
"http://orkg.org/orkg/resource/R589002",2002,"secondary research","document inspection"
"http://orkg.org/orkg/resource/R589029",2002,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R597081",2001,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R597176",2001,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R598694",2000,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R602865",1998,"secondary research","literature review"
"http://orkg.org/orkg/resource/R603600",1998,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R605866",1998,"secondary research","archive analysis"
"http://orkg.org/orkg/resource/R606978",1999,"secondary research","archive analysis"
